id;level;unlock_skill_1;unlock_skill_2;unlock_skill_3;unlock_skill_4;unlock_skill_5;unlock_skill_6
136: Diablos Mastery;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
132: Anjanath Will;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
144: Kushala Daora Flight;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
127: Vaal Hazak Vitality;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
126: Nergigante Hunger;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
155: Bow Charge Plus;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
156: Mind's Eye/Ballistics;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
157: Guard Up;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
158: Protective Polish;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
159: Non-elemental Boost;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
160: Guts;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
161: Hasten Recovery;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
162: Razor Sharp/Spare Shot;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
163: Lunastra Favor;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
163: Lunastra Favor;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
164: Soul of the Dragoon;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
164: Soul of the Dragoon;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
165: Critical Element;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
166: Critical Status;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
167: Witcher's Knowledge;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
167: Witcher's Knowledge;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
168: Astera Blessing;5;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
169: Zinogre Essence;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
61: Latent Power;6;381: Zinogre Essence;497: Fatalis Legend;500: Fatalis Legend;0: --------;0: --------;0: --------
61: Latent Power;7;381: Zinogre Essence;497: Fatalis Legend;500: Fatalis Legend;0: --------;0: --------;0: --------
170: Tigrex Essence;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
84: Free Meal;2;384: Tigrex Essence;489: Kulve Taroth Essence;497: Fatalis Legend;500: Fatalis Legend;0: --------;0: --------
84: Free Meal;3;384: Tigrex Essence;489: Kulve Taroth Essence;497: Fatalis Legend;500: Fatalis Legend;0: --------;0: --------
172: Brachydios Essence;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
62: Agitator;6;387: Brachydios Essence;469: Survivor;487: Brachydios Will;486: Brachydios Will;497: Fatalis Legend;500: Fatalis Legend
62: Agitator;7;387: Brachydios Essence;469: Survivor;487: Brachydios Will;486: Brachydios Will;497: Fatalis Legend;500: Fatalis Legend
173: Glavenus Essence;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
101: Maximum Might;4;390: Glavenus Essence;482: Rajang Will;483: Rajang Will;497: Fatalis Legend;500: Fatalis Legend;0: --------
101: Maximum Might;5;390: Glavenus Essence;482: Rajang Will;483: Rajang Will;497: Fatalis Legend;500: Fatalis Legend;0: --------
174: Silver Rathalos Essence;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
102: Slinger Capacity;4;393: Silver Rathalos Essence;403: Silver Rathalos Essence;403: Silver Rathalos Essence;403: Silver Rathalos Essence;497: Fatalis Legend;500: Fatalis Legend
102: Slinger Capacity;5;393: Silver Rathalos Essence;403: Silver Rathalos Essence;403: Silver Rathalos Essence;403: Silver Rathalos Essence;497: Fatalis Legend;500: Fatalis Legend
175: Gold Rathian Essence;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
97: Divine Blessing;4;396: Gold Rathian Essence;404: Gold Rathian Essence;404: Gold Rathian Essence;404: Gold Rathian Essence;497: Fatalis Legend;500: Fatalis Legend
97: Divine Blessing;5;396: Gold Rathian Essence;404: Gold Rathian Essence;404: Gold Rathian Essence;404: Gold Rathian Essence;497: Fatalis Legend;500: Fatalis Legend
176: Shara Ishvalda Divinity;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
177: Namielle Divinity;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
178: Velkhana Divinity;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
171: Nargacuga Essence;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
174: Silver Rathalos Essence;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
175: Gold Rathian Essence;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
202: Lunastra Essence;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
120: Tool Specialist;4;405: Lunastra Essence;497: Fatalis Legend;500: Fatalis Legend;0: --------;0: --------;0: --------
120: Tool Specialist;5;405: Lunastra Essence;497: Fatalis Legend;500: Fatalis Legend;0: --------;0: --------;0: --------
201: Zorah Magdaros Essence;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
71: Artillery;4;408: Zorah Magdaros Essence;486: Brachydios Will;497: Fatalis Legend;500: Fatalis Legend;0: --------;0: --------
71: Artillery;5;408: Zorah Magdaros Essence;486: Brachydios Will;497: Fatalis Legend;500: Fatalis Legend;0: --------;0: --------
190: Diablos Ambition;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
57: Slugger;4;411: Diablos Ambition;491: Frostfang Absolute Art;497: Fatalis Legend;500: Fatalis Legend;0: --------;0: --------
57: Slugger;5;411: Diablos Ambition;491: Frostfang Absolute Art;497: Fatalis Legend;500: Fatalis Legend;0: --------;0: --------
195: Deviljho Essence;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
58: Stamina Thief;4;414: Deviljho Essence;497: Fatalis Legend;500: Fatalis Legend;0: --------;0: --------;0: --------
58: Stamina Thief;5;414: Deviljho Essence;497: Fatalis Legend;500: Fatalis Legend;0: --------;0: --------;0: --------
180: Commission Alchemy;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
88: Bombardier;4;417: Commission Alchemy;497: Fatalis Legend;500: Fatalis Legend;0: --------;0: --------;0: --------
88: Bombardier;5;417: Commission Alchemy;497: Fatalis Legend;500: Fatalis Legend;0: --------;0: --------;0: --------
30: Fire Attack;6;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
31: Water Attack;6;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
32: Ice Attack;6;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
33: Thunder Attack;6;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
34: Dragon Attack;6;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
35: Poison Attack;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
36: Paralysis Attack;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
37: Sleep Attack;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
38: Blast Attack;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
68: Horn Maestro;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
39: Normal Shots;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
40: Piercing Shots;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
41: Spread/Power Shots;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
184: Provoker;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
185: Offensive Guard;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
185: Offensive Guard;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
185: Offensive Guard;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
186: Coalescence;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
186: Coalescence;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
186: Coalescence;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
187: Safe Landing;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
176: Shara Ishvalda Divinity;5;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
177: Namielle Divinity;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
179: Ancient Divinity;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
181: Instructor's Guidance;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
182: Anjanath Dominance;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
183: Rathian Essence;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
188: Barioth Hidden Art;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
189: Rathalos Essence;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
191: Legiana Ambition;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
192: Odogaron Essence;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
193: Uragaan Ambition;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
194: Bazelgeuse Ambition;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
196: Vaal Soulvein;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
203: Nergigante Ambition;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
199: Kirin Divinity;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
200: Guild Pride;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
200: Guild Pride;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
178: Velkhana Divinity;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
205: Bludgeoner;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
206: Adrenaline;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
207: Coldproof;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
208: Rajang's Rage;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
208: Rajang's Rage;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
209: Power Cell;5;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
210: Survivor;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
210: Survivor;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
211: Safi'jiiva Seal;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
211: Safi'jiiva Seal;5;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
212: Joyful Blessing;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
212: Joyful Blessing;5;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
213: Appreciation Blessing;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
213: Appreciation Blessing;5;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
214: Full Bloom Blessing;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
214: Full Bloom Blessing;5;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
215: Sizzling Blessing;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
215: Sizzling Blessing;5;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
216: Fun Fright Blessing;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
216: Fun Fright Blessing;5;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
217: Rajang Will;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
217: Rajang Will;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
64: Heroics;6;483: Rajang Will;497: Fatalis Legend;500: Fatalis Legend;0: --------;0: --------;0: --------
64: Heroics;7;483: Rajang Will;497: Fatalis Legend;500: Fatalis Legend;0: --------;0: --------;0: --------
218: Brachydios Will;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
218: Brachydios Will;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
219: Kulve Taroth Essence;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
219: Kulve Taroth Essence;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
220: Frostfang Absolute Art;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
220: Frostfang Absolute Art;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
221: Alatreon Divinity;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
223: Clutch Claw Boost;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
221: Alatreon Divinity;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
222: Fatalis Legend;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
224: New World;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
224: New World;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
222: Fatalis Legend;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
